"trap","richness","diversity","evenness","canopysp","block","meshtype","plot"
"1",30,8.39636049460541,0.622362696334445,"Hial",1,"meshsmall","hial1"
"10",4,2.24932760352638,0.558710805160032,"Viko",1,"meshreg","viko1"
"11",14,1.14888639071464,0.052440754366527,"Pema",1,"meshsmall","pema1"
"12",14,6.1122884976403,0.672793984785158,"Pema",1,"meshsmall","pema1"
"13",5,2.07965972040343,0.452164657584789,"Pema",1,"meshreg","pema1"
"14",2,3.21822802873137,1.26777021610442,"Pema",1,"meshreg","pema1"
"15",14,7.39471497794882,0.719665339221719,"Pema",1,"meshsmall","pema1"
"16",27,1.47187885424354,0.11719839892981,"Hial",2,"meshsmall","hial2"
"17",10,2.32801473660771,0.363248955301832,"Hial",2,"meshreg","hial2"
"18",27,5.54229951574073,0.515793559763575,"Hial",2,"meshsmall","hial2"
"19",18,1.21144400744954,0.0662729680105793,"Hial",2,"meshsmall","hial2"
"2",37,2.55009847183697,0.258518689737562,"Hial",1,"meshsmall","hial1"
"20",8,2.96954153179456,0.513762830513888,"Hial",2,"meshreg","hial2"
"21",22,4.98130847140972,0.514672772936492,"Viko",2,"meshsmall","viko2"
"22",7,1.52173294980237,0.215107560753762,"Viko",2,"meshreg","viko2"
"23",33,2.90208931075416,0.304213171134815,"Viko",2,"meshsmall","viko2"
"24",26,10.174489716161,0.705589617845243,"Viko",2,"meshsmall","viko2"
"25",8,1.77323308338295,0.265938966017199,"Viko",2,"meshreg","viko2"
"26",6,3.13798752984774,0.595117430022423,"Pema",2,"meshreg","pema2"
"27",21,11.5926401423324,0.790805411586045,"Pema",2,"meshsmall","pema2"
"28",9,1.72229186263911,0.245388840797464,"Pema",2,"meshreg","pema2"
"29",22,4.42153923954786,0.4782052350839,"Pema",2,"meshsmall","pema2"
"3",7,1.97662644206311,0.344344507796257,"Hial",1,"meshreg","hial1"
"30",19,3.20405826952395,0.391514264691981,"Pema",2,"meshsmall","pema2"
"31",10,8.90804122128995,0.881214158608842,"Vogu",2,"meshreg","vogu2"
"32",23,3.94020557380846,0.434645536545459,"Vogu",2,"meshsmall","vogu2"
"33",10,2.75680551549597,0.42468272509066,"Vogu",2,"meshreg","vogu2"
"34",27,13.7563001172373,0.782646718608703,"Vogu",2,"meshsmall","vogu2"
"35",23,3.71645812803352,0.415590382547158,"Vogu",2,"meshsmall","vogu2"
"36",26,7.24723821792782,0.598115509792257,"Hial",3,"meshsmall","hial3"
"37",20,12.7689705584236,0.828338888144071,"Hial",3,"meshsmall","hial3"
"38",22,4.32694401897391,0.469718696641355,"Hial",3,"meshsmall","hial3"
"39",6,1.18529018962262,0.0921846131878322,"Hial",3,"meshreg","hial3"
"4",28,2.50410281692885,0.274797316219378,"Hial",1,"meshsmall","hial1"
"40",7,4.4946185075933,0.697317407356382,"Hial",3,"meshreg","hial3"
"41",27,5.40318460803726,0.508509755073248,"Viko",3,"meshsmall","viko3"
"42",19,1.60200704503127,0.159698968300806,"Viko",3,"meshsmall","viko3"
"43",26,2.25534134375003,0.248542117518869,"Viko",3,"meshsmall","viko3"
"44",8,1.2674682418303,0.111648885386371,"Viko",3,"meshreg","viko3"
"45",6,1.12490507478723,0.0652080615063866,"Viko",3,"meshreg","viko3"
"46",13,9.90226701944512,0.854851816243033,"Pema",3,"meshsmall","pema3"
"47",7,7.33895096479901,0.939414703486736,"Pema",3,"meshsmall","pema3"
"48",3,4.46192898602543,1.02033301851425,"Pema",3,"meshreg","pema3"
"49",15,8.14225023002099,0.756874634074822,"Pema",3,"meshsmall","pema3"
"5",8,5.15056941463526,0.761520052083534,"Hial",1,"meshreg","hial1"
"50",5,1.0137093061518,0.00844267021876994,"Pema",3,"meshreg","pema3"
"51",28,7.48565092354697,0.595924288728586,"Vogu",3,"meshsmall","vogu3"
"52",32,13.9914502930278,0.757895888960227,"Vogu",3,"meshsmall","vogu3"
"53",24,8.7660426777029,0.675943052321778,"Vogu",3,"meshsmall","vogu3"
"54",8,3.29605751194361,0.545188883554754,"Vogu",3,"meshreg","vogu3"
"55",5,2.14107183210722,0.454873669841853,"Vogu",3,"meshreg","vogu3"
"56",14,3.74083766509243,0.484433615352283,"Hial",4,"meshreg","hial4"
"57",28,13.564525646803,0.774997979442272,"Hial",4,"meshsmall","hial4"
"58",30,7.73589161171208,0.598979056801999,"Hial",4,"meshsmall","hial4"
"59",29,6.52876681488901,0.551167650439745,"Hial",4,"meshsmall","hial4"
"6",5,2.44481645969829,0.527840421122064,"Viko",1,"meshreg","viko1"
"60",13,4.45949056901638,0.575511250155792,"Hial",4,"meshreg","hial4"
"61",5,2.82462065637099,0.59313873919344,"Viko",4,"meshreg","viko4"
"62",29,8.73657691551777,0.639563377589446,"Viko",4,"meshsmall","viko4"
"63",3,2.09572138724205,0.627250100824576,"Viko",4,"meshreg","viko4"
"64",22,2.22559447320376,0.256975907890676,"Viko",4,"meshsmall","viko4"
"65",25,9.89487245805216,0.701973514908373,"Viko",4,"meshsmall","viko4"
"66",22,4.17071371527274,0.45869103164649,"Pema",4,"meshsmall","pema4"
"67",20,1.28259910661754,0.082831530928029,"Pema",4,"meshsmall","pema4"
"68",13,1.28812847115798,0.0980480873678708,"Pema",4,"meshreg","pema4"
"69",29,8.42174830196173,0.627649219229392,"Pema",4,"meshsmall","pema4"
"7",32,7.883046240473,0.592152082666707,"Viko",1,"meshsmall","viko1"
"70",9,1.2487560978735,0.10063971265459,"Pema",4,"meshreg","pema4"
"71",4,2.28975065665943,0.58477701488986,"Vogu",4,"meshreg","vogu4"
"72",23,5.70294846070239,0.545607699287593,"Vogu",4,"meshsmall","vogu4"
"73",24,7.05863746436727,0.605322561603302,"Vogu",4,"meshsmall","vogu4"
"74",8,7.21792571077028,0.866123001170793,"Vogu",4,"meshreg","vogu4"
"75",30,16.8932720406086,0.81930847470023,"Vogu",4,"meshsmall","vogu4"
"8",30,2.64436309181093,0.284815206126908,"Viko",1,"meshsmall","viko1"
"9",29,3.99964523858593,0.410076230510345,"Viko",1,"meshsmall","viko1"
